DATASET,DATE,TEAMS,VENUE,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,MOVEMENTS,CLOSING ODDS,MONEYLINE,HALFTIME
2017-2018 Regular Season,10/17/17,Boston,Road,99,100.3,100.3,98.7,101.7,3+,214.5,4,214.5,215 / 215.5 / 215.5o15,216,166,110
2017-2018 Regular Season,10/17/17,Cleveland,Home,102,100.3,100.3,101.7,98.7,3+,-4,-4,214.5,-14.24074074,-4.5,-195,1.5
2017-2018 Regular Season,10/17/17,Houston,Road,122,102.5,102.5,119,118,3+,232,9,232,231 / 231.5 / 231,231.5,364,115.5
2017-2018 Regular Season,10/17/17,Golden State,Home,121,102.5,102.5,118,119,3+,-9,-9,232,2.666666667,-9,-470,-2.5
2017-2018 Regular Season,10/18/17,Charlotte,Road,90,99,99,90.9,103.1,3+,204,3,204,201.5 / 202 / 201.5,202,120,99.5
2017-2018 Regular Season,10/18/17,Detroit,Home,102,99,99,103.1,90.9,3+,-3,-3,204,-10,-2.5,-140,2.5
2017-2018 Regular Season,10/18/17,Brooklyn,Road,131,113.3,113.3,115.7,123.6,3+,212,3.5,212,218 / 217.5 / 216.5,217,130,112.5
2017-2018 Regular Season,10/18/17,Indiana,Home,140,113.3,113.3,123.6,115.7,3+,-3.5,-3.5,212,-12.13333333,-3,-150,-1.5
2017-2018 Regular Season,10/18/17,Miami,Road,109,105.7,105.7,103.1,109.7,3+,-3,-3,207,-9.3125,-3.5,-165,-4.5
2017-2018 Regular Season,10/18/17,Orlando,Home,116,105.7,105.7,109.7,103.1,3+,207,3,207,205.5 / 205 / 206,205.5,144,100
2017-2018 Regular Season,10/18/17,Philadelphia,Road,115,104.8,104.8,109.8,114.6,3+,215.5,6.5,215.5,215.5 / 216 / 216.5,217.5,237,108.5
2017-2018 Regular Season,10/18/17,Washington,Home,120,104.8,104.8,114.6,109.8,3+,-6.5,-6.5,215.5,-1.928571429,-6.5,-290,-21
2017-2018 Regular Season,10/18/17,Milwaukee,Road,108,99.4,99.4,108.7,100.6,3+,208.5,6,208.5,208.5 / 207 / 204,203,100,101.5
2017-2018 Regular Season,10/18/17,Boston,Home,100,99.4,99.4,100.6,108.7,B2B,-6,-6,208.5,-5,-1,-120,-2
2017-2018 Regular Season,10/18/17,New Orleans,Road,91,94.3,94.3,96.5,109.3,3+,205,3,205,205.5 / 205.5o11 / 205.5,204.5,110,101
2017-2018 Regular Season,10/18/17,Memphis,Home,103,94.3,94.3,109.3,96.5,3+,-3,-3,205,4.583333333,-2,-130,-5.5
2017-2018 Regular Season,10/18/17,Atlanta,Road,117,99.1,99.1,118.1,112,3+,199.5,6.5,199.5,198.5 / 199 / 199.5,199,184,103.5
2017-2018 Regular Season,10/18/17,Dallas,Home,111,99.1,99.1,112,118.1,3+,-6.5,-6.5,199.5,-5.681818182,-5.5,-220,-21
2017-2018 Regular Season,10/18/17,Denver,Road,96,95,95,101.1,111.6,3+,209,2,209,204.5 / 205 / 204.5,205,120,101.5
2017-2018 Regular Season,10/18/17,Utah,Home,106,95,95,111.6,101.1,3+,-2,-2,209,-14.2,-2.5,-140,-3.5
2017-2018 Regular Season,10/18/17,Minnesota,Road,99,94.5,94.5,104.8,113.3,3+,207,3,207,-15,-1,100,-6
2017-2018 Regular Season,10/18/17,San Antonio,Home,107,94.5,94.5,113.3,104.8,3+,-3,-3,207,202.5 / 203 / 203.5o21,204,-120,100.5o15
2017-2018 Regular Season,10/18/17,Portland,Road,124,99.7,99.7,124.4,76.2,3+,-1,-1,220,-7.3,-2.5,-145,5.5
2017-2018 Regular Season,10/18/17,Phoenix,Home,76,99.7,99.7,76.2,124.4,3+,220,1,220,218.5 / 219 / 219.5,220,125,112
2017-2018 Regular Season,10/18/17,Houston,Road,105,97.8,97.8,107.4,102.3,B2B,-9,-9,218.5,-9.833333333,-7,-300,-17.5
